id,name,instructions
87,The King's Squeeze,"Build in ice-filled tall glass, garnish with a squeeze of lime."
88,English Harbour Colada,Build in old fashioned glass over ice.
89,Rita's Song,"Build in old fashioned glass, stir and serve over large ice cube."
90,Le Femme Nikita,Build in rocks glass. Use cylinder ice cube.
91,1880's Americana,Build over ice in Old Fashioned glass.
92,Luxardo Maraschino Simple Spritz,"Build over ice, stir lightly, and garnish with a lime twist and a Luxardo Cherry."
93,Aperitivo Spritz,"Build over ice, stir lightly, and garnish with an orange peel or slice and Luxardo Cherry."
94,La Chiara,Build spirits in a tall glass over clear ice. Top with 4 oz tonic and garnish with a lemon twist curled into a flower if you're feeling fancy.
95,Luxardo Ice Cream Float,"Build syrup and ice cream in a lowball cocktail glass, and top with soda water. Serve with a metal straw, a spoon, and garnish with a Luxardo Maraschino Cherry."
96,Negroni,Build the cocktail in a mixing glass. Stir for about 15 seconds and then strain over ice into a old fashioned glass.
97,Nellie Fer' Toddy,Build then pour into a pre-heated Irish coffee glass or mug. Top with hot water. Garnish with the orange slice and add a dash of Peychaud's Bitters.
98,Almond Crusta,Chill coupe glass and garnish rim by coating the outer lip of the glass with a wedge of lemon and dipping into a shallow dish containing superfine white sugar. Place lemon strip neatly along side of sugared coupe. Combine all liquid ingredients into shaker; add ice and shake. Double strain into glass.
99,Mexico Mule,"Chill cup and place a napkin around it. In the base of the cup put everything except the cider and the raspberry syrup and give a brief stir. Add some crushed ice. Stir vigorously. Top with crushed ice. Add cider. Pour raspberry syrup on top. Garnish with cinnamon quill as a stirrer, some small flowers, and a lime wheel."
100,Hidarite,Chilled. Serve up or on the rocks.
101,Bird is the Word,Cold shake-strain into coupe and garnish with a Luxardo Maraschino Cherry.
102,Jammie Dodger Fizz,"Combine all ingredients and shake thoroughly without ice for several minutes. Add ice, shake, and strain into a tall collins glass. Top with soda and garnish with an orange wheel."
103,Rudolph's Rose,Combine all ingredients and stir with ice in a mixing glass. Strain into coupe glass and garnish with a Luxardo Cherry.
104,Heard It Through The Grapevine,Combine all ingredients and stir. Pour the mixture into a chilled Nick & Nora glass and garnish with the orange zest.
105,Snow Bunny,"Combine all ingredients besides beer and bitters and dry shake without ice. Add ice and re-shake, double strain into a fizz glass and top with beer. Garnish with shaved nutmeg and 3 drops of bitters."
106,A Love Song,Combine all ingredients besides blood orange into a mixing glass and stir until proper dilution (15-20 seconds). Pour into a small martini glass. Rub a thin slice of blood orange around the rim and place in drink.
107,Drops of Jupiter,Combine all ingredients except Duke's Lemon garnish in mixing glass and stir. Pour into a rocks glass and garnish. Ice does not touch this drink.
108,Mother Superior,"Combine all ingredients except for tonic. Shake with ice. Strain into a chilled coupe. Top with the tonic and garnish with a fresh grapefruit peel. 

*Substitute with Yellow Chartreuse Liqueur"
109,Round Pond Aperitif,"Combine all ingredients except soda in a shaker with ice, shake to combine. Pour into a coupe glass and garnish with a lemon peel."
110,Across The Pond,"Combine all ingredients except soda in a shaker with ice, shake to combine. Pour over ice in a rocks glass and top with soda. Garnish with a Luxardo cherry.
"
111,Fizzy Rhubarb Mule,"Combine all ingredients except soda in a tin and dry shake. Add ice and shake vigorously. Add soda into a collins glass and slowly strain the drink over it until it forms a head. Garnish with one rhubarb stalk.

*Rhubarb Infused Gin:
750 ml of gin with 3 chopped stalks of fresh rhubarb for 48 hours"
112,Charente Royale,Combine all ingredients except sparkling wine in a shaker. Add ice and shake until chilled through. Double strain into a champagne flute and garnish with an orange twist.
113,Peachy Keane,Combine all ingredients except the bitters and dry shake. Add ice and shake again. Strain over fresh ice into a double old fashioned glass. Dash bitters over the top of the cocktail. Garnish with a dried peach and a piece of candied ginger.
114,Hopped-Up Mary,"Combine all ingredients in a chilled mixing glass, rimmed with sea salt and stir. Add ice. Stir again to mix. Garnish with a cocktail shrimp, lemon zest, fresh ground pepper and a celery stalk."
115,The Palace Cellar,Combine all ingredients in a Collins glass and stir. Garnish with a slice of ginger and lemon wheel.
116,Swedish Royal,Combine all ingredients in a frozen mixing glass with hard ice and stir for 20 seconds. Strain into a frozen coupe glass.
117,Gold Spritz,Combine all ingredients in a glass filled with ice and garnish with an orange twist.
118,La Madrugada,Combine all ingredients in a mixing glass and add ice. Shake well and double strain and serve into a coupe.
