recipe_id,synergy_score,conflict_score,final_balance_score,synergy_normalized,conflict_normalized,balance_normalized,conflict_good,sqe_total,n_ingredients,roles_summary,base_count,modifier_count,acid_count,sweetener_count
120,4.455668825076253,0.0154898867445071,-0.2975554374634679,0.06652553463751681,0.0154898867445071,0.6355108148235366,0.9845101132554929,0.5126164922787155,6,"base:1,modifier:3,acid:1,sweetener:1",1.0,3.0,1.0,1.0
121,9.884282089176953,0.0562782946082938,-0.3717461055885063,0.14757765361506084,0.0562782946082938,0.508224544485463,0.9437217053917062,0.49461493640917503,6,"base:1,acid:1,sweetener:1",1.0,0.0,1.0,1.0
122,1.777485264,0.0127600512322739,-0.1663025683138018,0.0265388120482415,0.0127600512322739,0.8606966583729614,0.9872399487677261,0.5649965069615028,5,"base:1,modifier:2",1.0,2.0,0.0,0.0
123,1.007368697035062,0.0346130442591784,-0.1571223169002766,0.01504055704728219,0.0346130442591784,0.8764468867065852,0.9653869557408216,0.5585663755531349,5,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
124,1.0717606511239286,0.0108159748640478,-0.1379346812562296,0.016001963592581925,0.0108159748640478,0.9093664255038423,0.9891840251359522,0.5759659206289711,4,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
125,4.02238870853777,0.0294613408311454,-0.2018387592444152,0.06005642920528467,0.0294613408311454,0.7997284891962654,0.9705386591688546,0.5551027161916499,6,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
126,3.390512696659242,0.0868491740362522,-0.2868363482127629,0.05062218012504213,0.0868491740362522,0.6539011720830732,0.9131508259637477,0.49036447146406315,5,"base:1,modifier:1,acid:1",1.0,1.0,1.0,0.0
128,2.9309132592484946,0.0143873360383662,-0.2215513017729984,0.04376011306099622,0.0143873360383662,0.7659083864696635,0.9856126639616338,0.5429603603537876,4,"base:1,modifier:1",1.0,1.0,0.0,0.0
129,1.4237919237088517,0.0804608579809542,-0.3735150893085353,0.02125798003752869,0.0804608579809542,0.5051895625166826,0.9195391420190457,0.43592180337572994,3,"base:1,acid:1",1.0,0.0,1.0,0.0
130,4.382096212007856,0.034106503520861,-0.2710330206150675,0.06542705591048295,0.034106503520861,0.6810143748574599,0.965893496479139,0.5202431837651729,5,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
