recipe_id,canonical_name,amount,unit,amount_value,amount_ratio_all,amount_rank_all
105,apple cider,2.0,oz,2.0,0.19047619047619047,2.0
105,water,2.0,oz,2.0,0.19047619047619047,2.0
105,honey-ginger syrup,0.5,oz,0.5,0.047619047619047616,5.0
105,campari,1.0,tsp,1.0,0.09523809523809523,4.0
105,cinnamon tincture,3.0,dash,3.0,0.2857142857142857,1.0
106,gin,1.5,oz,1.5,0.42857142857142855,2.0
106,tonic water,2.0,oz,2.0,0.5714285714285714,1.0
106,botanicals,,,,,
107,lime juice,0.5,oz,0.5,0.1,3.0
107,pisco,2.0,oz,2.0,0.4,2.0
107,angostura bitters,2.5,drop,2.5,0.5,1.0
107,ginger ale,,top,,,
108,creme de cassis,1.0,part,1.0,0.2,2.0
108,champagne,4.0,part,4.0,0.8,1.0
109,creme de cassis,1.0,part,1.0,0.2,2.0
109,white wine,4.0,part,4.0,0.8,1.0
110,cachaca,1.5,oz,1.5,0.375,1.0
110,agave nectar,1.5,oz,1.5,0.375,1.0
110,soda water,1.0,splash,1.0,0.25,2.0
111,club soda,3.0,oz,3.0,0.375,1.0
111,cognac,1.0,oz,1.0,0.125,3.0
111,gin,1.0,oz,1.0,0.125,3.0
111,vermouth,1.0,oz,1.0,0.125,3.0
111,orange bitters,2.0,dash,2.0,0.25,2.0
112,cherry liqueur,1.0,oz,1.0,0.2,2.0
112,prosecco,4.0,oz,4.0,0.8,1.0
113,lime juice,0.75,oz,0.75,0.046153846153846156,5.0
113,cognac,1.5,oz,1.5,0.09230769230769231,3.0
113,simple syrup,0.75,oz,0.75,0.046153846153846156,5.0
113,ginger beer,1.0,oz,1.0,0.06153846153846154,4.0
113,falernum,0.25,oz,0.25,0.015384615384615385,6.0
113,cucumber,3.0,,3.0,0.18461538461538463,2.0
113,mint,8.0,,8.0,0.49230769230769234,1.0
113,mint,1.0,,1.0,0.06153846153846154,4.0
114,lime juice,0.25,oz,0.25,0.05263157894736842,3.0
114,vodka,1.5,oz,1.5,0.3157894736842105,2.0
114,ginger beer,3.0,oz,3.0,0.631578947368421,1.0
115,vermouth,1.0,oz,1.0,0.3333333333333333,1.0
115,pear brandy,1.0,oz,1.0,0.3333333333333333,1.0
115,pineau des charentes,0.5,oz,0.5,0.16666666666666666,2.0
115,genepy,0.5,oz,0.5,0.16666666666666666,2.0
116,pisco,1.5,oz,1.5,0.5,1.0
116,pisco,1.0,oz,1.0,0.3333333333333333,2.0
116,bitters,0.25,oz,0.25,0.08333333333333333,3.0
116,falernum,0.25,oz,0.25,0.08333333333333333,3.0
116,salt,,,,,
117,lime juice,0.5,oz,0.5,0.08333333333333333,4.0
117,simple syrup,0.5,oz,0.5,0.08333333333333333,4.0
117,tequila,1.5,oz,1.5,0.25,2.0
117,mirabelle,0.25,oz,0.25,0.041666666666666664,5.0
117,sherry,0.5,oz,0.5,0.08333333333333333,4.0
117,curacao liqueur,0.75,oz,0.75,0.125,3.0
117,horchata,2.0,oz,2.0,0.3333333333333333,1.0
118,ginger liqueur,1.0,oz,1.0,0.16666666666666666,2.0
118,water,2.0,oz,2.0,0.3333333333333333,1.0
118,scotch whisky,2.0,oz,2.0,0.3333333333333333,1.0
118,honey,1.0,dash,1.0,0.16666666666666666,2.0
119,rum,0.75,oz,0.75,0.42857142857142855,2.0
119,brown sugar,1.0,cube,1.0,0.5714285714285714,1.0
119,bitters,,,,,
119,champagne,,,,,
120,lime juice,2.0,oz,2.0,0.16666666666666666,2.0
120,simple syrup,2.0,oz,2.0,0.16666666666666666,2.0
120,cachaca,2.0,oz,2.0,0.16666666666666666,2.0
120,rum,2.0,oz,2.0,0.16666666666666666,2.0
120,pineau des charentes,3.0,oz,3.0,0.25,1.0
120,cinnamon cordial,1.0,oz,1.0,0.08333333333333333,3.0
121,bitter bianco,1.5,oz,1.5,0.13043478260869565,4.0
121,gin,0.75,oz,0.75,0.06521739130434782,5.0
121,elderflower liqueur,0.75,oz,0.75,0.06521739130434782,5.0
121,citric acid,2.0,dash,2.0,0.17391304347826086,3.0
