recipe_id,num_nodes,pair_count,C_flavor,C_role,C_type,C_ratio,C_flavor_norm,C_role_norm,C_type_norm,C_ratio_norm,conflict_score,conflict_normalized
215,7,21,1.4346249859171796,0.7199976000047996,0.6,0.0,0.06831547551986569,0.06923053846199996,0.02857142857142857,0.0,0.04585506961352855,0.04585506961352855
216,4,6,0.0,0.7199976000047996,0.0,0.03142857142857143,0.0,0.06923053846199996,0.0,0.006285714285714286,0.023185583574466154,0.023185583574466154
217,4,6,0.12671353464256024,0.7199952000191999,0.0,0.07235294117647059,0.021118922440426707,0.06923030769415384,0.0,0.014470588235294119,0.030466253226749108,0.030466253226749108
218,3,3,0.08660339703654263,0.0,0.0,0.06000000000000001,0.028867799012180877,0.0,0.0,0.012000000000000002,0.010123105003205495,0.010123105003205495
219,5,10,0.20314287617368276,0.7199984000021332,0.0,0.0,0.020314287617368275,0.0692306153848205,0.0,0.0,0.02720816475767181,0.02720816475767181
220,5,10,0.46529755635741304,0.0,0.0,0.0,0.046529755635741306,0.0,0.0,0.0,0.012244672535721398,0.012244672535721398
221,4,6,0.06571513152735386,0.7199952000191999,0.0,0.06500000000000006,0.010952521921225644,0.06923030769415384,0.0,0.013000000000000012,0.027481287145844805,0.027481287145844805
222,3,3,0.0,0.3,0.0,0.03142857142857143,0.0,0.028846153846153844,0.0,0.006285714285714286,0.010432620011567379,0.010432620011567379
223,3,3,0.1088010493699107,0.3,0.0,0.10038461538461543,0.0362670164566369,0.028846153846153844,0.0,0.020076923076923086,0.022879984087778946,0.022879984087778946
224,6,15,0.43203524776749114,0.7199976000048,0.6,0.0,0.028802349851166077,0.06923053846199999,0.04,0.0,0.03786289368567528,0.03786289368567528
225,4,6,0.5271523769351769,0.0,0.0,0.03827586206896553,0.08785872948919615,0.0,0.0,0.007655172413793106,0.024732333531639644,0.024732333531639644
